route_id,origin,destination,distance_nm,transit_days,transshipments,route_type,base_freight_usd
R001,Chennai,Rotterdam,8650,24,1,Recommended,1500
R002,Chennai,Rotterdam,9100,27,2,Alternative,1300
R003,Tokyo,Sydney,4860,12,0,Direct,1500
R004,Tokyo,Sydney,5200,15,1,Alternative,1300
R005,Tokyo,Los Angeles,4800,11,0,Direct,1800
R006,Sydney,Los Angeles,6500,18,0,Direct,2200
R007,Sydney,Rotterdam,11500,35,2,Alternative,2800
R008,Chennai,Los Angeles,8200,22,1,Standard,2100
R009,Chennai,Hamburg,8400,23,1,Standard,1600
R010,Rotterdam,Singapore,8200,22,1,Standard,2150
R011,Hamburg,New York,3500,9,0,Direct,1300
R012,Dubai,Shanghai,5100,14,1,Recommended,1700
R013,Singapore,Los Angeles,7600,19,0,Direct,2400
R014,New York,Rotterdam,3400,8,0,Direct,1250
R015,Shanghai,Sydney,4300,12,1,Recommended,1500
R016,Dubai,Rotterdam,6400,18,1,Standard,1900
R017,Chennai,Singapore,1600,4,0,Direct,800
R018,Hamburg,Tokyo,11200,31,2,Alternative,3100
R019,Los Angeles,Tokyo,4800,11,0,Direct,1750
R020,Sydney,Singapore,3400,9,0,Direct,1400
R021,Rotterdam,New York,3400,9,1,Recommended,1350
R022,Shanghai,Rotterdam,10500,29,2,Alternative,2900
R023,Dubai,Chennai,1500,4,0,Direct,850
R024,Singapore,Hamburg,8400,23,1,Standard,2100
R025,Tokyo,Rotterdam,11300,32,2,Alternative,3000
R026,Los Angeles,Sydney,6500,17,0,Direct,2100
R027,New York,Hamburg,3500,10,1,Recommended,1400
R028,Shanghai,Los Angeles,5700,14,0,Direct,1900
R029,Rotterdam,Chennai,8650,25,2,Standard,2200
R030,Singapore,Tokyo,2900,7,0,Direct,1100
R031,Dubai,Sydney,6500,17,0,Direct,2300
R032,Chennai,Dubai,1500,5,1,Recommended,950
R033,Hamburg,Singapore,8400,24,2,Standard,2200
R034,Los Angeles,Shanghai,5700,15,1,Recommended,2050
R035,Tokyo,Singapore,2900,8,1,Recommended,1150
R036,Sydney,Dubai,6500,18,1,Standard,2450
R037,New York,Dubai,6100,16,0,Direct,2200
R038,Shanghai,Hamburg,10800,30,2,Alternative,3050
R039,Rotterdam,Dubai,6400,19,2,Standard,2000
R040,Singapore,Chennai,1600,5,1,Recommended,900
R041,Dubai,New York,6100,17,1,Standard,2350
R042,Chennai,Tokyo,3500,9,0,Direct,1200
R043,Hamburg,Rotterdam,300,1,0,Direct,800
R044,Los Angeles,New York,4300,12,0,Direct,1500
R045,Tokyo,Dubai,4300,13,1,Recommended,1600
R046,Sydney,Chennai,4900,14,1,Recommended,1650
R047,New York,Los Angeles,4300,13,1,Standard,1550
R048,Shanghai,Singapore,2100,6,0,Direct,950
R049,Rotterdam,Hamburg,300,2,1,Alternative,850
R050,Singapore,Dubai,3200,9,0,Direct,1300
R051,Dubai,Tokyo,4300,12,0,Direct,1500
R052,Chennai,Sydney,4900,15,2,Alternative,1600
R053,Hamburg,Los Angeles,8200,22,1,Standard,2200
R054,Los Angeles,Hamburg,8200,23,2,Alternative,2150
R055,Tokyo,Chennai,3500,10,1,Recommended,1250
R056,Sydney,Shanghai,4300,13,1,Standard,1550
R057,New York,Singapore,8300,23,1,Standard,2300
R058,Shanghai,Dubai,3500,9,0,Direct,1400
R059,Rotterdam,Los Angeles,7800,21,1,Standard,2100
R060,Singapore,New York,8300,24,2,Alternative,2200
R061,Dubai,Singapore,3200,10,1,Recommended,1350
R062,Chennai,New York,7500,20,1,Standard,1950
R063,Hamburg,Shanghai,10800,28,1,Standard,3100
R064,Los Angeles,Rotterdam,7800,22,2,Alternative,2100
R065,Tokyo,New York,8500,23,1,Standard,2300
